步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
340	...... { statement statement statement type_specifier	ID = number ; for ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22	r39	I22	
341	...... statement statement statement type_specifier ID	= number ; for ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13	s13		
342	...... statement statement type_specifier ID =	number ; for ( int ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18	s18		
343	...... statement type_specifier ID = number	; for ( int ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18 I49	s49		
344	...... statement type_specifier ID = primary_expression	; for ( int ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18 I47	r5	I47	
345	...... type_specifier ID = primary_expression arithmetic_expression	; for ( int ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18 I47 I89	r17	I89	
346	...... statement type_specifier ID = constant_expression	; for ( int ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18 I43	r18	I43	
347	...... statement type_specifier ID = expression	; for ( int ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I18 I48	r31	I48	
348	...... statement statement type_specifier ID declaration_assign	; for ( int ID ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I13 I19	r41	I19	
349	...... statement statement statement type_specifier declaration_init	; for ( int ID ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I52	r43	I52	
350	...... statement statement type_specifier declaration_init declaration_init_list	; for ( int ID ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I52 I101	r45	I101	
351	...... statement type_specifier declaration_init declaration_init_list ;	for ( int ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I22 I52 I101 I129	s129		
352	...... { statement statement statement declaration	for ( int ID = ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I32	r46	I32	
353	...... { statement statement statement statement	for ( int ID = ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40	r59	I40	
354	...... statement statement statement statement for	( int ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33	s33		
355	...... statement statement statement for (	int ID = number ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59	s59		
356	...... statement statement for ( int	ID = number ; ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I8	s8		
357	...... statement statement for ( type_specifier	ID = number ; ID ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105	r39	I105	
358	...... statement for ( type_specifier ID	= number ; ID < ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13	s13		
359	...... for ( type_specifier ID =	number ; ID < number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18	s18		
360	...... ( type_specifier ID = number	; ID < number ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18 I49	s49		
361	...... ( type_specifier ID = primary_expression	; ID < number ; ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18 I47	r5	I47	
362	...... type_specifier ID = primary_expression arithmetic_expression	; ID < number ; ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18 I47 I89	r17	I89	
363	...... ( type_specifier ID = constant_expression	; ID < number ; ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18 I43	r18	I43	
364	...... ( type_specifier ID = expression	; ID < number ; ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I18 I48	r31	I48	
365	...... for ( type_specifier ID declaration_assign	; ID < number ; ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I13 I19	r41	I19	
366	...... statement for ( type_specifier declaration_init	; ID < number ; ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I132	r43	I132	
367	...... for ( type_specifier declaration_init declaration_init_list	; ID < number ; ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I132 I172	r45	I172	
368	...... ( type_specifier declaration_init declaration_init_list ;	ID < number ; ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I105 I132 I172 I196	s196		
369	...... statement statement for ( declaration	ID < number ; ID ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106	r46	I106	
370	...... statement for ( declaration ID	< number ; ID + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I70	s70		
371	...... statement for ( declaration primary_expression	< number ; ID + ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76	r4	I76	
372	...... for ( declaration primary_expression <	number ; ID + = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I98	s98		
373	...... for ( declaration primary_expression operator	number ; ID + = ......	reduce(operator->< ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I118	r12	I118	
374	...... ( declaration primary_expression operator number	; ID + = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I118 I77	s77		
375	...... ( declaration primary_expression operator primary_expression	; ID + = number ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I118 I137	r5	I137	
376	...... declaration primary_expression operator primary_expression arithmetic_expression	; ID + = number ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I118 I137 I175	r17	I175	
377	...... for ( declaration primary_expression arithmetic_expression	; ID + = number ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I76 I117	r16	I117	
378	...... statement for ( declaration constant_expression	; ID + = number ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I71	r18	I71	
379	...... statement for ( declaration expression	; ID + = number ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133	r31	I133	
380	...... for ( declaration expression ;	ID + = number ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173	s173		
381	...... ( declaration expression ; ID	+ = number ) { ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198	s198		
382	...... declaration expression ; ID +	= number ) { if ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I64	s64		
383	...... expression ; ID + =	number ) { if ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I64 I111	s111		
384	...... declaration expression ; ID assignment_operator	number ) { if ( ......	reduce(assignment_operator->+ = ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214	r20	I214	
385	...... expression ; ID assignment_operator number	) { if ( ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214 I88	s88		
386	...... expression ; ID assignment_operator primary_expression	) { if ( ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214 I87	r5	I87	
387	...... ; ID assignment_operator primary_expression arithmetic_expression	) { if ( ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214 I87 I126	r17	I126	
388	...... expression ; ID assignment_operator constant_expression	) { if ( ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214 I82	r18	I82	
389	...... expression ; ID assignment_operator expression	) { if ( ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I198 I214 I223	r31	I223	
390	...... ( declaration expression ; assignment_expression	) { if ( ID ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197	r25	I197	
391	...... declaration expression ; assignment_expression )	{ if ( ID < ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213	s213		
392	...... expression ; assignment_expression ) {	if ( ID < number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28	s28		
393	...... ; assignment_expression ) { if	( ID < number ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23	s23		
394	...... assignment_expression ) { if (	ID < number ) continue ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53	s53		
395	...... ) { if ( ID	< number ) continue ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I81	s81		
396	...... ) { if ( primary_expression	< number ) continue ; ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87	r4	I87	
397	...... { if ( primary_expression <	number ) continue ; else ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I98	s98		
398	...... { if ( primary_expression operator	number ) continue ; else ......	reduce(operator->< ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I127	r12	I127	
399	...... if ( primary_expression operator number	) continue ; else ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I127 I88	s88		
400	...... if ( primary_expression operator primary_expression	) continue ; else ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I127 I153	r5	I153	
401	...... ( primary_expression operator primary_expression arithmetic_expression	) continue ; else ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I127 I153 I185	r17	I185	
402	...... { if ( primary_expression arithmetic_expression	) continue ; else ID ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I87 I126	r16	I126	
403	...... ) { if ( constant_expression	) continue ; else ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I82	r18	I82	
404	...... ) { if ( expression	) continue ; else ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102	r31	I102	
405	...... { if ( expression )	continue ; else ID + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130	s130		
406	...... if ( expression ) continue	; else ID + = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I163	s163		
407	...... ( expression ) continue ;	else ID + = ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I163 I192	s192		
408	...... if ( expression ) jump_statement	else ID + = ID ......	reduce(jump_statement->continue ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I169	r63	I169	
409	...... if ( expression ) statement	else ID + = ID ......	reduce(statement->jump_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166	r55	I166	
410	...... ( expression ) statement else	ID + = ID ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193	s193		
411	...... expression ) statement else ID	+ = ID ; if ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34	s34		
412	...... ) statement else ID +	= ID ; if ( ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I64	s64		
413	...... statement else ID + =	ID ; if ( ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I64 I111	s111		
414	...... ) statement else ID assignment_operator	ID ; if ( ID ......	reduce(assignment_operator->+ = ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63	r20	I63	
415	...... statement else ID assignment_operator ID	; if ( ID > ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63 I42	s42		
416	...... statement else ID assignment_operator primary_expression	; if ( ID > ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63 I47	r4	I47	
417	...... else ID assignment_operator primary_expression arithmetic_expression	; if ( ID > ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63 I47 I89	r17	I89	
418	...... statement else ID assignment_operator constant_expression	; if ( ID > ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63 I43	r18	I43	
419	...... statement else ID assignment_operator expression	; if ( ID > ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I34 I63 I110	r31	I110	
420	...... expression ) statement else assignment_expression	; if ( ID > ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I38	r25	I38	
421	...... ) statement else assignment_expression assignment_expression_profix	; if ( ID > ......	reduce(assignment_expression_profix->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I38 I68	r27	I68	
422	...... expression ) statement else assignment_expression_list	; if ( ID > ......	reduce(assignment_expression_list->assignment_expression assignment_expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I26	r28	I26	
423	...... ) statement else assignment_expression_list ;	if ( ID > number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I26 I55	s55		
424	...... expression ) statement else expression_statement	if ( ID > number ......	reduce(expression_statement->assignment_expression_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I24	r62	I24	
425	...... expression ) statement else statement	if ( ID > number ......	reduce(statement->expression_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I23 I53 I102 I130 I166 I193 I210	r54	I210	
426	...... ; assignment_expression ) { selection_statement	if ( ID > number ......	reduce(selection_statement->if ( expression ) statement else statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I36	r66	I36	
427	...... ; assignment_expression ) { statement	if ( ID > number ......	reduce(statement->selection_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40	r56	I40	
428	...... assignment_expression ) { statement if	( ID > number ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23	s23		
429	...... ) { statement if (	ID > number ) break ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53	s53		
430	...... { statement if ( ID	> number ) break ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I81	s81		
431	...... { statement if ( primary_expression	> number ) break ; ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87	r4	I87	
432	...... statement if ( primary_expression >	number ) break ; else ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I90	s90		
433	...... statement if ( primary_expression operator	number ) break ; else ......	reduce(operator->> ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I127	r13	I127	
434	...... if ( primary_expression operator number	) break ; else ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I127 I88	s88		
435	...... if ( primary_expression operator primary_expression	) break ; else ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I127 I153	r5	I153	
436	...... ( primary_expression operator primary_expression arithmetic_expression	) break ; else ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I127 I153 I185	r17	I185	
437	...... statement if ( primary_expression arithmetic_expression	) break ; else ID ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I87 I126	r16	I126	
438	...... { statement if ( constant_expression	) break ; else ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I82	r18	I82	
439	...... { statement if ( expression	) break ; else ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102	r31	I102	
440	...... statement if ( expression )	break ; else ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130	s130		
441	...... if ( expression ) break	; else ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I158	s158		
442	...... ( expression ) break ;	else ID = number + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I158 I188	s188		
443	...... if ( expression ) jump_statement	else ID = number + ......	reduce(jump_statement->break ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I169	r64	I169	
444	...... if ( expression ) statement	else ID = number + ......	reduce(statement->jump_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166	r55	I166	
445	...... ( expression ) statement else	ID = number + number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193	s193		
446	...... expression ) statement else ID	= number + number , ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34	s34		
447	...... ) statement else ID =	number + number , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I66	s66		
448	...... ) statement else ID assignment_operator	number + number , ID ......	reduce(assignment_operator->= ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63	r19	I63	
449	...... statement else ID assignment_operator number	+ number , ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I49	s49		
450	...... statement else ID assignment_operator primary_expression	+ number , ID = ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47	r5	I47	
451	...... else ID assignment_operator primary_expression +	number , ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I93	s93		
452	...... else ID assignment_operator primary_expression operator	number , ID = number ......	reduce(operator->+ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I96	r7	I96	
453	...... ID assignment_operator primary_expression operator number	, ID = number * ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I96 I49	s49		
454	...... ID assignment_operator primary_expression operator primary_expression	, ID = number * ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I96 I128	r5	I128	
455	...... assignment_operator primary_expression operator primary_expression arithmetic_expression	, ID = number * ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I96 I128 I154	r17	I154	
456	...... else ID assignment_operator primary_expression arithmetic_expression	, ID = number * ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I47 I89	r16	I89	
457	...... statement else ID assignment_operator constant_expression	, ID = number * ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I43	r18	I43	
458	...... statement else ID assignment_operator expression	, ID = number * ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I34 I63 I110	r31	I110	
459	...... expression ) statement else assignment_expression	, ID = number * ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38	r25	I38	
460	...... ) statement else assignment_expression ,	ID = number * number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69	s69		
461	...... statement else assignment_expression , ID	= number * number , ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34	s34		
462	...... else assignment_expression , ID =	number * number , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I66	s66		
463	...... else assignment_expression , ID assignment_operator	number * number , ID ......	reduce(assignment_operator->= ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63	r19	I63	
464	...... assignment_expression , ID assignment_operator number	* number , ID + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I49	s49		
465	...... assignment_expression , ID assignment_operator primary_expression	* number , ID + ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40 I40 I33 I59 I106 I133 I173 I197 I213 I28 I40 I23 I53 I102 I130 I166 I193 I38 I69 I34 I63 I47	r5	I47	
